CD_MESO,Mesoregião,Municipio,CO_MUNICIPIO_ESC
1504,Nordeste Paraense,Abaetetuba,1500107
1506,Sudeste Paraense,Abel Figueiredo,1500131
1504,Nordeste Paraense,Acará,1500206
1502,Marajó ,Afuá,1500305
1506,Sudeste Paraense,Água Azul do Norte,1500347
1501,Baixo Amazonas,Alenquer,1500404
1501,Baixo Amazonas,Almeirim,1500503
1505,Sudoeste Paraense,Altamira,1500602
1502,Marajó ,Anajás,1500701
1503,Metropolitana de Belém ,Ananindeua,1500800
1505,Sudoeste Paraense,Anapu,1500859
1504,Nordeste Paraense,Augusto Corrêa,1500909
1504,Nordeste Paraense,Aurora do Pará,1500958
1505,Sudoeste Paraense,Aveiro,1501006
1502,Marajó ,Bagre,1501105
1504,Nordeste Paraense,Baião,1501204
1506,Sudeste Paraense,Bannach,1501253
1503,Metropolitana de Belém ,Barcarena,1501303
1503,Metropolitana de Belém ,Belém,1501402
1501,Baixo Amazonas,Belterra,1501451
1503,Metropolitana de Belém ,Benevides,1501501
1506,Sudeste Paraense,Bom Jesus do Tocantins,1501576
1504,Nordeste Paraense,Bonito,1501600
1504,Nordeste Paraense,Bragança,1501709
1505,Sudoeste Paraense,Brasil Novo,1501725
1506,Sudeste Paraense,Brejo Grande do Araguaia,1501758
1506,Sudeste Paraense,Breu Branco,1501782
1502,Marajó ,Breves,1501808
1503,Metropolitana de Belém ,Bujaru,1501907
1502,Marajó ,Cachoeira do Arari,1502004
1504,Nordeste Paraense,Cachoeira do Piriá,1501956
1504,Nordeste Paraense,Cametá,1502103
1506,Sudeste Paraense,Canaã dos Carajás,1502152
1504,Nordeste Paraense,Capanema,1502202
1504,Nordeste Paraense,Capitão Poço,1502301
1503,Metropolitana de Belém ,Castanhal,1502400
1502,Marajó ,Chaves,1502509
1504,Nordeste Paraense,Colares,1502608
1506,Sudeste Paraense,Conceição do Araguaia,1502707
1504,Nordeste Paraense,Concórdia do Pará,1502756
1506,Sudeste Paraense,Cumaru do Norte,1502764
1506,Sudeste Paraense,Curionópolis,1502772
1502,Marajó ,Curralinho,1502806
1501,Baixo Amazonas,Curuá,1502855
1504,Nordeste Paraense,Curuçá,1502905
1506,Sudeste Paraense,Dom Eliseu,1502939
1506,Sudeste Paraense,Eldorado do Carajás,1502954
1501,Baixo Amazonas,Faro,1503002
1506,Sudeste Paraense,Floresta do Araguaia,1503044
1504,Nordeste Paraense,Garrafão do Norte,1503077
1506,Sudeste Paraense,Goianésia do Pará,1503093
1502,Marajó ,Gurupá,1503101
1504,Nordeste Paraense,Igarapé-Açu,1503200
1504,Nordeste Paraense,Igarapé-Miri,1503309
1503,Metropolitana de Belém ,Inhangapi,1503408
1504,Nordeste Paraense,Ipixuna do Pará,1503457
1504,Nordeste Paraense,Irituia,1503507
1505,Sudoeste Paraense,Itaituba,1503606
1506,Sudeste Paraense,Itupiranga,1503705
1505,Sudoeste Paraense,Jacareacanga,1503754
1506,Sudeste Paraense,Jacundá,1503804
1501,Baixo Amazonas,Juruti,1503903
1504,Nordeste Paraense,Limoeiro do Ajuru,1504000
1504,Nordeste Paraense,Mãe do Rio,1504059
1504,Nordeste Paraense,Magalhães Barata,1504109
1506,Sudeste Paraense,Marabá,1504208
1504,Nordeste Paraense,Maracanã,1504307
1504,Nordeste Paraense,Marapanim,1504406
1503,Metropolitana de Belém ,Marituba,1504422
1505,Sudoeste Paraense,Medicilândia,1504455
1502,Marajó ,Melgaço,1504505
1504,Nordeste Paraense,Mocajuba,1504604
1504,Nordeste Paraense,Moju,1504703
1501,Baixo Amazonas,Mojuí dos Campos,1504752
1501,Baixo Amazonas,Monte Alegre,1504802
1502,Marajó ,Muaná,1504901
1504,Nordeste Paraense,Nova Esperança do Piriá,1504950
1506,Sudeste Paraense,Nova Ipixuna,1504976
1504,Nordeste Paraense,Nova Timboteua,1505007
1505,Sudoeste Paraense,Novo Progresso,1505031
1506,Sudeste Paraense,Novo Repartimento,1505064
1501,Baixo Amazonas,Óbidos,1505106
1504,Nordeste Paraense,Oeiras do Pará,1505205
1501,Baixo Amazonas,Oriximiná,1505304
1504,Nordeste Paraense,Ourém,1505403
1506,Sudeste Paraense,Ourilândia do Norte,1505437
1505,Sudoeste Paraense,Pacajá,1505486
1506,Sudeste Paraense,Palestina do Pará,1505494
1506,Sudeste Paraense,Paragominas,1505502
1506,Sudeste Paraense,Parauapebas,1505536
1506,Sudeste Paraense,Pau-d'Arco,1505551
1504,Nordeste Paraense,Peixe-Boi,1505601
1506,Sudeste Paraense,Piçarra,1505635
1501,Baixo Amazonas,Placas,1505650
1502,Marajó ,Ponta de Pedras,1505700
1502,Marajó ,Portel,1505809
1501,Baixo Amazonas,Porto de Moz,1505908
1501,Baixo Amazonas,Prainha,1506005
1504,Nordeste Paraense,Primavera,1506104
1504,Nordeste Paraense,Quatipuru,1506112
1506,Sudeste Paraense,Redenção,1506138
1506,Sudeste Paraense,Rio Maria,1506161
1506,Sudeste Paraense,Rondon do Pará,1506187
1505,Sudoeste Paraense,Rurópolis,1506195
1504,Nordeste Paraense,Salinópolis,1506203
1502,Marajó ,Salvaterra,1506302
1503,Metropolitana de Belém ,Santa Bárbara do Pará,1506351
1502,Marajó ,Santa Cruz do Arari,1506401
1503,Metropolitana de Belém ,Santa Izabel do Pará,1506500
1504,Nordeste Paraense,Santa Luzia do Pará,1506559
1506,Sudeste Paraense,Santa Maria das Barreiras,1506583
1504,Nordeste Paraense,Santa Maria do Pará,1506609
1506,Sudeste Paraense,Santana do Araguaia,1506708
1501,Baixo Amazonas,Santarém,1506807
1504,Nordeste Paraense,Santarém Novo,1506906
1503,Metropolitana de Belém ,Santo Antônio do Tauá,1507003
1504,Nordeste Paraense,São Caetano de Odivelas,1507102
1506,Sudeste Paraense,São Domingos do Araguaia,1507151
1504,Nordeste Paraense,São Domingos do Capim,1507201
1506,Sudeste Paraense,São Félix do Xingu,1507300
1504,Nordeste Paraense,São Francisco do Pará,1507409
1506,Sudeste Paraense,São Geraldo do Araguaia,1507458
1504,Nordeste Paraense,São João da Ponta,1507466
1504,Nordeste Paraense,São João de Pirabas,1507474
1506,Sudeste Paraense,São João do Araguaia,1507508
1504,Nordeste Paraense,São Miguel do Guamá,1507607
1502,Marajó ,São Sebastião da Boa Vista,1507706
1506,Sudeste Paraense,Sapucaia,1507755
1505,Sudoeste Paraense,Senador José Porfírio,1507805
1502,Marajó ,Soure,1507904
1504,Nordeste Paraense,Tailândia,1507953
1504,Nordeste Paraense,Terra Alta,1507961
1501,Baixo Amazonas,Terra Santa,1507979
1504,Nordeste Paraense,Tomé-Açu,1508001
1504,Nordeste Paraense,Tracuateua,1508035
1505,Sudoeste Paraense,Trairão,1508050
1506,Sudeste Paraense,Tucumã,1508084
1506,Sudeste Paraense,Tucuruí,1508100
1506,Sudeste Paraense,Ulianópolis,1508126
1505,Sudoeste Paraense,Uruará,1508159
1504,Nordeste Paraense,Vigia,1508209
1504,Nordeste Paraense,Viseu,1508308
1505,Sudoeste Paraense,Vitória do Xingu,1508357
1506,Sudeste Paraense,Xinguara,1508407
