Meso-Regions,Abstention rate,Test day,Year
Lower Amazon,9.6824686940966,First day ,2019
Marajó,13.483642793987622,First day ,2019
Metropolitan Area,8.829213711728206,First day ,2019
Northeastern,11.669052976068725,First day ,2019
Southwest,10.196266156055529,First day ,2019
Southeast,11.430930753804413,First day ,2019
Lower Amazon,13.998211091234348,Second day ,2019
Marajó,17.24137931034483,Second day ,2019
Metropolitan Area,11.880785271081274,Second day ,2019
Northeastern,14.880343628553897,Second day ,2019
Southwest,14.60028721876496,Second day ,2019
Southeast,15.488970154535803,Second day ,2019
Lower Amazon,38.61909481334655,First day ,2020
Marajó,37.64892772041303,First day ,2020
Metropolitan Area,27.250892121877573,First day ,2020
Northeastern,34.752839011356045,First day ,2020
Southwest,40.41745730550284,First day ,2020
Southeast,37.05477401975457,First day ,2020
Lower Amazon,42.64948794185663,Second day ,2020
Marajó,41.22319301032566,Second day ,2020
Metropolitan Area,30.256656601701895,Second day ,2020
Northeastern,37.29124916499666,Second day ,2020
Southwest,44.086021505376344,Second day ,2020
Southeast,40.43699491170308,Second day ,2020
Lower Amazon,20.525451559934318,First day ,2021
Marajó,23.125996810207337,First day ,2021
Metropolitan Area,13.873521150736233,First day ,2021
Northeastern,19.730667210773312,First day ,2021
Southwest,23.076923076923077,First day ,2021
Southeast,20.91188918814929,First day ,2021
Lower Amazon,24.753694581280786,Second day ,2021
Marajó,26.794258373205743,Second day ,2021
Metropolitan Area,17.00570261298834,Second day ,2021
Northeastern,23.117731075290756,Second day ,2021
Southwest,26.95902228612509,Second day ,2021
Southeast,25.375144286263946,Second day ,2021
